word,entity,sym
小闪,product,小闪
条码,identity,条形码
商品条码,identity,条形码
扫描,action,扫描
商米,company,商米
T1mini,product,T1mini
使用,action,使用
下载,action,下载
应用,component,应用软件
预置软件列表,component,预置软件
死机,malfunction,死机
打印机,accessory,打印机
不工作,malfunction,无法工作
打印,action,打印
内容空白,malfunction,内容空白
内容模糊,malfunction,内容模糊
外观,component,外观
介绍,introduction,介绍
安装,component,安装
说明,introduction,说明
T1,product,T1
截屏,component,截屏
固定ip联网,component,固定ip
固定ip,component,固定ip
自动下载,action,下载
系统更新,action,升级
升级,action,升级
最新的系统版本,status,最新版本
最新版本,status,最新版本
查看,action,查看
系统版本,status,系统版本
恢复,action,恢复
出厂设置,status,出厂设置
主屏,accessory,屏幕
14寸副屏,accessory,副屏幕
副屏,accessory,副屏幕
系统刷机包,component,刷机包
root权限,component,root权限
锁屏密码,component,锁屏密码
设置,action,设置
PIN码,component,锁屏密码
忘记,action,忘记
安全模式,component,安全模式
进入,action,进入
退出,action,退出
存储空间,component,存储空间
规格标示,protocol,规格
标示的不一样,malfunction,显示不正常
显示的不一样,malfunction,显示不正常
显示不正常,malfunction,显示不正常
扩展,action,扩展
清理,action,清理
缓存,component,缓存
删除,action,清理
文件,component,文件
传输文件,action,传输文件
显示字体的大小,component,字体大小
调整,action,调整
加粗黑体,component,加粗黑体
播放,action,播放
广告,component,广告
视频,component,视频
调节,action,调整
音量,component,音量
第三方APP,component,应用软件
APP,component,应用软件
app,component,应用软件
第三方app,component,应用软件
三方APP,component,应用软件
三方app,component,应用软件
应用未安装,error_message,安装失败
禁止未经授权的APP安装,error_message,安装失败
停用,action,停用
卸载,action,卸载
外接,action,外接
硬件,accessory,硬件
RS232,protocol,RS232
电子秤,accessory,电子秤
钱箱,accessory,钱箱
扫码枪,accessory,扫码枪
商米刷卡器,accessory,读卡器
加装,action,外接
会员卡读写器,accessory,读卡器
RFID,protocol,RFID
MSR,protocol,MSR
连接,action,连接
HDMI,protocol,HDMI
显示屏,accessory,屏幕
摄像头,accessory,摄像头
USB密码键盘,accessory,密码键盘
U盘,accessory,U盘
USB接口,protocol,USB接口
无线上网卡,accessory,无线上网卡
4G,protocol,4G
全网通SIM卡,accessory,SIM卡
内置MIC,component,mic
电脑,accessory,电脑
无法选择USB连接类型,malfunction,无法工作
USB数据线,protocol,USB接口
规格,protocol,规格
热敏纸,accessory,热敏纸
58规格,protocol,58规格
80规格,protocol,80规格
蓝牙,protocol,蓝牙
热敏标签,accessory,热敏标签
不干胶标签,accessory,不干胶标签
黑标,protocol,黑标
硬件管家,component,硬件管家
开不了机,malfunction,不开机
无法激活,malfunction,无法激活
下载升级包失败,malfunction,升级失败
网络连接失败,malfunction,连接失败
WiFi,component,WIFI
wifi,component,WIFI
WIFI,component,WIFI
不能上网,malfunction,连接失败
不能使用,malfunction,无法工作
不能扫码,malfunction,无法工作
识别,action,识别
数值不完整,malfunction,数值不完整
二维码,identity,条形码
不显示,malfunction,无法显示
无法显示,malfunction,无法显示
屏幕键盘,component,屏幕键盘
SD卡,accessory,SD卡
无法识别,malfunction,无法识别
没有声音提示,malfunction,没有声音
重启设备,action,重启
音量会变小,malfunction,音量变小
触控异常,malfunction,触控异常
识别不到,malfunction,无法识别
副屏,accessory,副屏幕
黑屏,malfunction,黑屏
打印机门盖,accessory,打印机门盖
打印机门,accessory,打印机门盖
打不开,malfunction,无法工作
关不上,malfunction,无法工作
走纸,action,走纸
不正常,malfunction,无法工作
切纸,action,走纸
只能切一半,malfunction,无法工作
未检测到黑标,error_message,未检测到黑标
打印机未准备好,error_message,打印机未准备好
打印机切刀已经修复,error_message,打印机切刀已经修复
打印纸未准备好,error_message,打印纸未准备好
显示,action,显示
2个相同的图片,malfunction,显示相同图片
T2,product,T2
V2Pro,product,V2pro
V2pro,product,V2pro
P1,product,P1
M1,product,M1
K1,product,K1
D2,product,D2
D1S,product,D1S
V1s,product,V1s
PC,accessory,电脑
USB线,protocol,USB接口
会员卡,identity,会员卡
积分卡,identity,积分卡
清晰度,component,清晰度
检查,action,检查
不走纸,malfunction,不走纸
桌面,component,桌面
卡纸,malfunction,不走纸
