qid,questions,intention,answer
1,你好,greeting,null
2,你好么,greeting,null
3,你好吗,greeting,null
4,你好呀,greeting,null
5,近来一切可好,greeting,null
6,近来如何,greeting,null
7,最近过得怎么样,greeting,null
8,假期还好么,greeting,null
9,你好，很高兴认识你,greeting,null
10,好久不见，最近怎么样,greeting,null
11,好久不见，最近过得怎么样,greeting,null
12,你好啊,greeting,null
13,早上好,greeting,null
14,晚上好,greeting,null
15,中午好,greeting,null
16,你好呀,greeting,null
17,在干嘛呢,greeting,null
18,今天怎么不开心,greeting,null
19,在干嘛呢,greeting,null
20,好久不见，你在哪里,greeting,null
21,兄弟，好久不见，好不容易才找到你,greeting,null
22,当我想起你，我感觉离你很近，离这个世界很远,greeting,null
23,打扰您了,greeting,null
24,吃饭了么,greeting,null
25,这段时间忙么,greeting,null
26,这段时间在忙啥,greeting,null
27,近况如何,greeting,null
28,很高兴认识你,greeting,null
29,很高兴见到你,greeting,null
30,你过得怎么样,greeting,null
31,你好，你是谁,greeting,null
32,你是谁,greeting,null
33,你在吗,greeting,null
34,今天在忙啥,greeting,null
35,最近生活和工作都还好吗,greeting,null
36,Hello,greeting,null
37,Hi ,greeting,null
38,哈喽,greeting,null
39,嗨，你好,greeting,null
40,嗨，很高兴遇见你,greeting,null
41,嗨，今天第一次问你问题,greeting,null
42,今天在忙啥呢,greeting,null
43,别张口闭口的就带着你爹你妈，你那么孝顺怎么不在家呆着？,chatty,null
44,前面的大姐，对不起啊，您体型有点庞大啊，挡住我手机信号了。,chatty,null
45,拿你当人的时候，你尽量走人道好吗。,chatty,null
46,6666666,chatty,null
47,666,chatty,null
48,不要说别人脑子有病，脑子有病的前提是必须有个脑子。,chatty,null
49,你特么是不是有病,chatty,null
50,每次我看你吃猪肉都万分感慨。本是同根生。相煎何太急。,chatty,null
51,狗叫嚣有什么用，真咬到我，才算你本事、嫉妒归嫉妒，做人不要做狗，在背后诋毁有意思？,chatty,null
52,不要把自己当回事。请问你是谁。,chatty,null
53,特么的,chatty,null
54,你特么到底能做什么,chatty,null
55,请问你有什么好牛的。说出来给我乐呵乐呵。,chatty,null
56,陪我玩一会,chatty,null
57,你自不量力的在我面前装，我也只好笑着看着你继续装。,chatty,null
58,给你面子你不要。你是有多不要脸。,chatty,null
59,你这货，太让我费心了.,chatty,null
60,有娘养没娘教育的,chatty,null
61,我就想不通那深沟桥的臭水沟怎么跑到你脑子里去了。,chatty,null
62,要不要脸,chatty,null
63,你要不要脸,chatty,null
64,您就说。您要脸。您真要脸，我就没见过比你要脸的。,chatty,null
65,傻逼,chatty,null
66,你特么怎么这么傻逼,chatty,null
67,傻币就像南方的农作物，一年三熟，从来都不带歇气儿的。,chatty,null
68,您的容貌的存在就是对市容城管的一种侮辱。,chatty,null
69,你他妹的吃了多少勇气果子敢这么跟我说话。,chatty,null
70,你他妈的,chatty,null
71,婊子,chatty,null
72,陪我说说话,chatty,null
73,人品问题永远是自己本质的完犊子。,chatty,null
74,你都不如一条狗，我给狗扔块骨头它都知道冲我摇摇尾巴。,chatty,null
75,您别总日啊日的。你家老母狗都快怀孕了。,chatty,null
76,我有点无聊,chatty,null
77,我有点寂寞,chatty,null
78,陪我说会话,chatty,null
79,我有点寂寞了,chatty,null
80,我现在有点无聊,chatty,null
81,我好烦,chatty,null
82,你到底会做什么,chatty,null
83,瞧你那副低俗不堪的衰样,chatty,null
84,你干嘛用屁股挡住脸啊,chatty,null
85,你这个笨蛋,chatty,null
86,你这个白痴,chatty,null
87,这么不要脸,chatty,null
88,有病,chatty,null
89,你特么有病,chatty,null
90,劳资不操你妈你就不知道我是你爸,chatty,null
91,草泥马,chatty,null
92,不要再装牛B了,chatty,null
93,装逼,chatty,null
94,你那脑袋里装的全是屎,chatty,null
95,我无语了,chatty,null
96,我非常无语,chatty,null
97,要你有什么用,chatty,null
98,你真白痴,chatty,null
99,你特么真白痴,chatty,null
100,你连这不会回答,chatty,null
101,亲爱的,chatty,null
102,傻逼,chatty,null
103,沙雕,chatty,null
104,傻吊,chatty,null
105,傻屌,chatty,null
106,垃圾机器人,chatty,null
107,机器人好笨啊,chatty,null
108,智障,chatty,null
109,人工智障,chatty,null
110,去他妈的,chatty,null
111,去他娘的,chatty,null
112,小闪支持扫描商品条码吗？,question,小闪的扫描模组，设计应用场景是扫码设备位置固定，角度固定，适合扫描手机支付码，应用场景是餐饮类的收银支付，对无光源的货品条码扫描灵敏度不高，而且对于曲面的商品条码对不准不好识别。
113,小闪支持扫条码吗？,question,小闪的扫描模组，设计应用场景是扫码设备位置固定，角度固定，适合扫描手机支付码，应用场景是餐饮类的收银支付，对无光源的货品条码扫描灵敏度不高，而且对于曲面的商品条码对不准不好识别。
114,小闪支持扫商品条码吗？,question,小闪的扫描模组，设计应用场景是扫码设备位置固定，角度固定，适合扫描手机支付码，应用场景是餐饮类的收银支付，对无光源的货品条码扫描灵敏度不高，而且对于曲面的商品条码对不准不好识别。
115,商米T1mini如何使用应用,question,相关应用可在联网模式下，打开应用市场，浏览并下载应用即可完成安装。
116,商米T1mini如何下载应用,question,相关应用可在联网模式下，打开应用市场，浏览并下载应用即可完成安装。
117,商米T1mini系统预置软件列表,question,"应用市场·耗材商城·推送服务·用户反馈·数据服务·双屏服务
双屏设置·远程控制·硬件管家·打印服务·欢迎界面·用户中心
·公共Wi-FI·扫码SDK·启动器·OTA
电子说明书·打印机缺纸报警音量健功能自定义
·SunmiRecoveryOTA·系统ntent拦截Service·开发者指南（调试小助手）
系统权限AP服务（应用市场配套）定制服务（壁纸、开机动
以上软件详细信息查询方法：选择“设置->应用”，选择相应软件名称进行查看信息；
软件卸载方法：选择“设置->应用->管理应用->即载""卸载应用；或长按图标，拖曳到垃圾桶卸。"
118,商米T1mini死机怎么办,question,长按电源键11秒，进入断电关机，短按重新开机。
119,商米T1mini打印机不工作,question,"1.确认纸合盖正确关闭。
2.确认是否发生卡纸故障。"
120,商米T1mini打印内容空白,question,"1请检查打印纸是否装反了。
2.请检查是否使用了错误的热敏打印纸卷"
121,商米T1mini打印内容模糊,question,"请检查热敏头片是否有赃污，如果脏污，请使用棉签沾无水酒精进行擦拭干净。
请更换品质有保证的热敏纸，避免因为纸质引起的打印模糊。"
122,商米T1mini多少钱,question,请咨询人工客服
123,T1mini多少钱,question,请咨询人工客服
124,T1mini怎么卖,question,请咨询人工客服
125,T1mini哪里可以买到,question,请咨询人工客服
126,哪里可以买到T1mini,question,请咨询人工客服
127,哪里可以购买T1mini,question,请咨询人工客服
128,T1mini好不好用,question,null
129,商米T1外观介绍,question,"1. 电源键：
关机状态下，短按开机启动。
使用状态下，长按2-3秒，可选择关机或重启。
死机状态下，长按11秒，断电关机。
2. USB接口：用于外接键盘、鼠标、U盘。
3. 打印出纸口：用于开机状态下打印单据。
4. 打印机开盖把手：用于打开打印机纸仓盖，进行换纸动作。
5. 主显示屏：用于操作员使用的触摸屏。
6. 副显示屏：用于顾客端播放广告的屏幕。
7. 藏线盒：打开以后可以接各种外设。
8. 刷卡槽接口：用于外接MSR/RDIF刷卡器。
9. TF卡槽：用于外扩TF储存卡。
10. MicroUSB调试口、调试功能键：用于调试设备时使用"
130,商米T1安装说明,question,"开始使用收银机前，首先得找到收银机底座背面，打开藏线盖可见外设接口，用于连接所需的外部设备。
接口用途：
电源接口：用于连接收银机的电源适配器，另一端插头插入市电插座。。
钱箱接口：用于连接钱箱，本设备只支持24V/1A钱箱。
网线接口：用于连接有线网，可在无WiFi网络的环境使用。
USB接口：用于连接小闪、扫码枪、小票打印机/标签打印机。
串口：用于连接电子秤，需要购买RJ11-RS232转接线使用。
音频输出口：用于连接音箱。"
131,商米T1开机设置说明,question,"初次开启商米设备，完成初次设置只需简单几步：
·连接电源适配器，短按电源键开机启动，进入首次开机界面，点击【开始设置】按提示操作即可。本机可选择2种上网模式。
连接WLAN
·点击要连接的WLAN，若选择一个加密的网络，则需要输入访问密码方可连接。
通过LAN连网
·插入网线连接网络，T1 网线接口位于底座背面塑料壳内，从底下缺口轻轻打开。"
132,商米T1如何下载应用,question,相关应用可在联网模式下，打开应用市场，浏览并下载应用即可完成安装。
133,商米T1如何使用应用,question,相关应用可在联网模式下，打开应用市场，浏览并下载应用即可完成安装。
134,商米T1如何截屏,question,"将主屏幕背面下方的塑料盖掀开，找到三颗调试按键。同时按下电源键和音量减按键 2秒，截取的图片可以在“图库”->“屏幕截图”中查看。
截图照片的存储路径：\内部存储\Pictures\Screenshot"
135,商米T1连接网线后，如何设置固定IP,question,"将主屏幕背面下方的塑料盖掀开，找到三颗调试按键。同时按下电源键和音量减按键 2秒，截取的图片可以在“图库”->“屏幕截图”中查看。
截图照片的存储路径：\内部存储\Pictures\Screenshot"
136,商米T1如何设置固定IP,question,"将主屏幕背面下方的塑料盖掀开，找到三颗调试按键。同时按下电源键和音量减按键 2秒，截取的图片可以在“图库”->“屏幕截图”中查看。
截图照片的存储路径：\内部存储\Pictures\Screenshot"
137,商米T1如何设置固定IP联网,question,"将主屏幕背面下方的塑料盖掀开，找到三颗调试按键。同时按下电源键和音量减按键 2秒，截取的图片可以在“图库”->“屏幕截图”中查看。
截图照片的存储路径：\内部存储\Pictures\Screenshot"
138,商米T1连接网线后，如何设置固定IP联网,question,T1连接网线后，点击 设置->有线网->静态->输入静态IP设置。注意：静态的IP地址、网络前缀长度、DNS和网关的数据需要咨询网络管理员获取。
139,商米T1系统更新会自动下载吗？,question,为了不影响商户日常工作，系统更新不会自动下载更新和安装。您可以在设备首页的“系统更新”中升级更新设备系统。
140,商米T1如何将机器升级到最新版本,question,"1、在机器联网状态，点击 桌面的【系统更新】。
2、当检测到系统更新时将自动下载，点击安装，设备将会重启并执行系统升级。
3、系统升级完成后，再次打开【系统更新】查看当前系统是否已是最新版本。
4、若是双屏机器，在主屏安装系统更新重启后，点击【系统更新】升级副屏的系统版本。
检查到【主屏】系统更新
检查到【副屏】系统更新"
141,商米T1如何将机器升级到最新的系统版本,question,"1、在机器联网状态，点击 桌面的【系统更新】。
2、当检测到系统更新时将自动下载，点击安装，设备将会重启并执行系统升级。
3、系统升级完成后，再次打开【系统更新】查看当前系统是否已是最新版本。
4、若是双屏机器，在主屏安装系统更新重启后，点击【系统更新】升级副屏的系统版本。
检查到【主屏】系统更新
检查到【副屏】系统更新"
142,商米T1如何查看当前的系统版本,question,"主屏系统版本：点击 设置->关于->版本号；
副屏系统版本：在桌面点击 【副屏设置】->版本号；"
143,商米T1如何恢复出厂设置（主屏）,question,"点击 设置- >备份和重置->恢复出厂设置。
注意：恢复出厂设置将会清除机器所有数据，请谨慎操作。"
144,商米T1如何恢复出厂设置（14寸副屏）,question,"1、 从应用市场搜索""DSC""下载Sunmi_DSC_DemoFor14；
2、 打开刚下载的DSC，点击“其他功能”->“检查连接”->“打开指定应用”发送设置到副屏显示，然后在14寸副屏上选择 ""备份和重置"">“恢复出厂设置”。"
145,商米T1可以提供系统刷机包吗,question,为了系统安全考虑，商米不提供系统刷机包。但是我们会持续给现有机具通过OTA方式推送系统更新。
146,商米T1设备是否可以获取ROOT权限,question,为了设备的安全性和系统稳定性考虑，商米限制不能获取到设备的root权限。
147,商米T1如何设置锁屏密码,question,点击设置->安全->屏幕锁定方式，可选择【图案】、【PIN码】和【密码】锁定。
148,商米T1设备设置了PIN码锁屏，但是忘记锁屏密码，怎么处理,question,请与设备购买商联系，申请通过远程方式清除锁屏密码；如果设备系统版本未支持或者无法联系到设备购买商，请联系售后刷机处理。
