questions,intention
你好,greeting
你好么,greeting
你好吗,greeting
你好呀,greeting
近来一切可好,greeting
近来如何,greeting
最近过得怎么样,greeting
假期还好么,greeting
你好，很高兴认识你,greeting
好久不见，最近怎么样,greeting
好久不见，最近过得怎么样,greeting
你好啊,greeting
早上好,greeting
晚上好,greeting
中午好,greeting
你好呀,greeting
在干嘛呢,greeting
今天怎么不开心,greeting
在干嘛呢,greeting
好久不见，你在哪里,greeting
兄弟，好久不见，好不容易才找到你,greeting
当我想起你，我感觉离你很近，离这个世界很远,greeting
打扰您了,greeting
吃饭了么,greeting
这段时间忙么,greeting
这段时间在忙啥,greeting
近况如何,greeting
很高兴认识你,greeting
很高兴见到你,greeting
你过得怎么样,greeting
你好，你是谁,greeting
你是谁,greeting
你在吗,greeting
今天在忙啥,greeting
最近生活和工作都还好吗,greeting
Hello,greeting
Hi ,greeting
哈喽,greeting
嗨，你好,greeting
嗨，很高兴遇见你,greeting
嗨，今天第一次问你问题,greeting
今天在忙啥呢,greeting
别张口闭口的就带着你爹你妈，你那么孝顺怎么不在家呆着？,chatty
前面的大姐，对不起啊，您体型有点庞大啊，挡住我手机信号了。,chatty
拿你当人的时候，你尽量走人道好吗。,chatty
6666666,chatty
666,chatty
不要说别人脑子有病，脑子有病的前提是必须有个脑子。,chatty
你特么是不是有病,chatty
每次我看你吃猪肉都万分感慨。本是同根生。相煎何太急。,chatty
狗叫嚣有什么用，真咬到我，才算你本事、嫉妒归嫉妒，做人不要做狗，在背后诋毁有意思？,chatty
不要把自己当回事。请问你是谁。,chatty
特么的,chatty
你特么到底能做什么,chatty
请问你有什么好牛的。说出来给我乐呵乐呵。,chatty
陪我玩一会,chatty
你自不量力的在我面前装，我也只好笑着看着你继续装。,chatty
给你面子你不要。你是有多不要脸。,chatty
你这货，太让我费心了.,chatty
有娘养没娘教育的,chatty
我就想不通那深沟桥的臭水沟怎么跑到你脑子里去了。,chatty
要不要脸,chatty
你要不要脸,chatty
您就说。您要脸。您真要脸，我就没见过比你要脸的。,chatty
傻逼,chatty
你特么怎么这么傻逼,chatty
傻币就像南方的农作物，一年三熟，从来都不带歇气儿的。,chatty
您的容貌的存在就是对市容城管的一种侮辱。,chatty
你他妹的吃了多少勇气果子敢这么跟我说话。,chatty
你他妈的,chatty
婊子,chatty
陪我说说话,chatty
人品问题永远是自己本质的完犊子。,chatty
你都不如一条狗，我给狗扔块骨头它都知道冲我摇摇尾巴。,chatty
您别总日啊日的。你家老母狗都快怀孕了。,chatty
我有点无聊,chatty
我有点寂寞,chatty
陪我说会话,chatty
我有点寂寞了,chatty
我现在有点无聊,chatty
我好烦,chatty
你到底会做什么,chatty
瞧你那副低俗不堪的衰样,chatty
你干嘛用屁股挡住脸啊,chatty
你这个笨蛋,chatty
你这个白痴,chatty
这么不要脸,chatty
有病,chatty
你特么有病,chatty
劳资不操你妈你就不知道我是你爸,chatty
草泥马,chatty
不要再装牛B了,chatty
装逼,chatty
你那脑袋里装的全是屎,chatty
我无语了,chatty
我非常无语,chatty
要你有什么用,chatty
你真白痴,chatty
你特么真白痴,chatty
你连这不会回答,chatty
亲爱的,chatty
傻逼,chatty
沙雕,chatty
傻吊,chatty
傻屌,chatty
垃圾机器人,chatty
机器人好笨啊,chatty
智障,chatty
人工智障,chatty
去他妈的,chatty
去他娘的,chatty
再见,byebye
好的，小橙再见,byebye
谢谢，没有问题了,byebye
88,byebye
谢谢,byebye
谢了，88,byebye
多谢帮助,byebye
我没有问题了,byebye
888,byebye
8888,byebye
T1mini,clarify_product
我的产品是T1mini,clarify_product
T1mini是我的产品,clarify_product
我买的是T1mini,clarify_product
手上的是T1mini,clarify_product
T1,clarify_product
我的产品是T1,clarify_product
T1是我的产品,clarify_product
我买的是T1,clarify_product
手上的是T1,clarify_product
V2pro,clarify_product
我的产品是V2pro,clarify_product
V2pro是我的产品,clarify_product
我买的是V2pro,clarify_product
手上的是V2pro,clarify_product
P1,clarify_product
我的产品是P1,clarify_product
P1是我的产品,clarify_product
我买的是P1,clarify_product
手上的是P1,clarify_product
M1,clarify_product
我的产品是M1,clarify_product
M1是我的产品,clarify_product
我买的是M1,clarify_product
手上的是M1,clarify_product
K1,clarify_product
我的产品是K1,clarify_product
K1是我的产品,clarify_product
我买的是K1,clarify_product
手上的是K1,clarify_product
D2,clarify_product
我的产品是D2,clarify_product
D2是我的产品,clarify_product
我买的是D2,clarify_product
手上的是D2,clarify_product
D1S,clarify_product
我的产品是D1S,clarify_product
D1S是我的产品,clarify_product
我买的是D1S,clarify_product
手上的是D1S,clarify_product
V1s,clarify_product
我的产品是V1s,clarify_product
V1s是我的产品,clarify_product
我买的是V1s,clarify_product
手上的是V1s,clarify_product
这个答案不对,intent_deny
这个不是我想要的,intent_deny
不对，请帮我转人工,intent_deny
请帮我转人工客服,intent_deny
帮我转人工,intent_deny
这个问题不符合我的情况,intent_deny
这个答案不符合我的情况,intent_deny
