questions,intention
T1mini,clarify_product
我的产品是T1mini,clarify_product
T1mini是我的产品,clarify_product
我买的是T1mini,clarify_product
手上的是T1mini,clarify_product
T1,clarify_product
我的产品是T1,clarify_product
T1是我的产品,clarify_product
我买的是T1,clarify_product
手上的是T1,clarify_product
V2pro,clarify_product
我的产品是V2pro,clarify_product
V2pro是我的产品,clarify_product
我买的是V2pro,clarify_product
手上的是V2pro,clarify_product
P1,clarify_product
我的产品是P1,clarify_product
P1是我的产品,clarify_product
我买的是P1,clarify_product
手上的是P1,clarify_product
M1,clarify_product
我的产品是M1,clarify_product
M1是我的产品,clarify_product
我买的是M1,clarify_product
手上的是M1,clarify_product
K1,clarify_product
我的产品是K1,clarify_product
K1是我的产品,clarify_product
我买的是K1,clarify_product
手上的是K1,clarify_product
D2,clarify_product
我的产品是D2,clarify_product
D2是我的产品,clarify_product
我买的是D2,clarify_product
手上的是D2,clarify_product
D1S,clarify_product
我的产品是D1S,clarify_product
D1S是我的产品,clarify_product
我买的是D1S,clarify_product
手上的是D1S,clarify_product
V1s,clarify_product
我的产品是V1s,clarify_product
V1s是我的产品,clarify_product
我买的是V1s,clarify_product
手上的是V1s,clarify_product
